"";"X";"V1"
"1";1;7
"2";2;7
"3";3;7
"4";4;6
"5";5;4
"6";6;1
"7";7;4
"8";8;7
"9";9;7
"10";10;7
"11";11;1
"12";12;7
"13";13;1
"14";14;7
"15";15;4
"16";16;3
"17";17;7
"18";18;7
"19";19;7
"20";20;1
"21";21;7
"22";22;1
"23";23;4
"24";24;7
"25";25;7
"26";26;1
"27";27;7
"28";28;1
"29";29;4
"30";30;1
"31";31;7
"32";32;7
"33";33;7
"34";34;7
"35";35;1
"36";36;7
"37";37;4
"38";38;7
"39";39;7
"40";40;2
"41";41;7
"42";42;7
"43";43;7
"44";44;1
"45";45;4
"46";46;7
"47";47;3
"48";48;7
"49";49;7
"50";50;2
"51";51;2
"52";52;2
"53";53;2
"54";54;2
"55";55;7
"56";56;4
"57";57;7
"58";58;2
"59";59;3
"60";60;2
"61";61;0
"62";62;3
"63";63;2
"64";64;7
"65";65;3
"66";66;3
"67";67;3
"68";68;3
"69";69;3
"70";70;3
"71";71;3
"72";72;3
"73";73;3
"74";74;3
"75";75;3
"76";76;3
"77";77;3
"78";78;3
"79";79;3
"80";80;7
"81";81;3
"82";82;3
"83";83;3
"84";84;3
"85";85;3
"86";86;3
"87";87;3
"88";88;3
"89";89;3
"90";90;0
"91";91;3
"92";92;3
"93";93;3
"94";94;3
"95";95;3
"96";96;7
"97";97;7
"98";98;3
"99";99;3
"100";100;2
"101";101;3
"102";102;7
"103";103;3
"104";104;3
"105";105;3
"106";106;3
"107";107;3
"108";108;3
"109";109;3
"110";110;7
"111";111;3
"112";112;3
"113";113;3
"114";114;3
"115";115;3
"116";116;3
"117";117;3
"118";118;7
"119";119;3
"120";120;3
"121";121;3
"122";122;3
"123";123;3
"124";124;3
"125";125;3
"126";126;3
"127";127;7
"128";128;3
"129";129;3
"130";130;2
"131";131;3
"132";132;3
"133";133;1
"134";134;3
"135";135;3
"136";136;3
"137";137;3
"138";138;7
"139";139;3
"140";140;3
"141";141;3
"142";142;3
"143";143;3
"144";144;7
"145";145;3
"146";146;0
"147";147;4
"148";148;3
"149";149;7
"150";150;7
"151";151;3
"152";152;3
"153";153;3
"154";154;3
"155";155;7
"156";156;3
"157";157;3
"158";158;3
"159";159;3
"160";160;7
"161";161;3
"162";162;3
"163";163;3
"164";164;3
"165";165;3
"166";166;3
"167";167;3
"168";168;3
"169";169;3
"170";170;3
"171";171;3
"172";172;3
"173";173;3
"174";174;3
"175";175;3
"176";176;3
"177";177;3
"178";178;3
"179";179;3
"180";180;3
"181";181;3
"182";182;3
"183";183;3
"184";184;7
"185";185;3
"186";186;4
"187";187;7
"188";188;3
"189";189;7
"190";190;3
"191";191;3
"192";192;7
"193";193;3
"194";194;3
"195";195;3
"196";196;3
"197";197;3
"198";198;3
"199";199;7
"200";200;1
"201";201;7
"202";202;3
"203";203;3
"204";204;3
"205";205;3
"206";206;7
"207";207;3
"208";208;3
"209";209;3
"210";210;3
"211";211;3
"212";212;7
"213";213;6
"214";214;3
"215";215;3
"216";216;3
"217";217;3
"218";218;3
"219";219;7
"220";220;3
"221";221;3
"222";222;7
"223";223;3
"224";224;2
"225";225;3
"226";226;3
"227";227;3
"228";228;3
"229";229;4
"230";230;3
"231";231;4
"232";232;4
"233";233;3
"234";234;7
"235";235;3
"236";236;3
"237";237;3
"238";238;3
"239";239;7
"240";240;3
"241";241;3
"242";242;3
"243";243;3
"244";244;3
"245";245;3
"246";246;3
"247";247;6
"248";248;3
"249";249;4
"250";250;3
"251";251;3
"252";252;3
"253";253;7
"254";254;3
"255";255;3
"256";256;3
"257";257;3
"258";258;3
"259";259;3
"260";260;3
"261";261;3
"262";262;3
"263";263;3
"264";264;3
"265";265;7
"266";266;3
"267";267;3
"268";268;3
"269";269;3
"270";270;3
"271";271;7
"272";272;7
"273";273;3
"274";274;3
"275";275;3
"276";276;3
"277";277;3
"278";278;3
"279";279;3
"280";280;3
"281";281;4
"282";282;3
"283";283;6
"284";284;3
"285";285;3
"286";286;7
"287";287;7
"288";288;3
"289";289;3
"290";290;7
"291";291;3
"292";292;3
"293";293;3
"294";294;3
"295";295;6
"296";296;3
"297";297;3
"298";298;3
"299";299;7
"300";300;3
"301";301;7
"302";302;3
"303";303;7
"304";304;3
"305";305;3
"306";306;3
"307";307;3
"308";308;3
"309";309;3
"310";310;7
"311";311;3
"312";312;3
"313";313;7
"314";314;7
"315";315;7
"316";316;3
"317";317;3
"318";318;3
"319";319;3
"320";320;3
"321";321;3
"322";322;3
"323";323;3
"324";324;5
"325";325;3
"326";326;3
"327";327;3
"328";328;3
"329";329;3
"330";330;3
"331";331;4
"332";332;3
"333";333;3
"334";334;7
"335";335;3
"336";336;3
"337";337;7
"338";338;3
"339";339;7
"340";340;7
"341";341;4
"342";342;7
"343";343;3
"344";344;3
"345";345;3
"346";346;3
"347";347;4
"348";348;3
"349";349;3
"350";350;3
"351";351;3
"352";352;3
"353";353;3
"354";354;3
"355";355;7
"356";356;7
"357";357;7
"358";358;3
"359";359;3
"360";360;3
"361";361;3
"362";362;3
"363";363;4
"364";364;3
"365";365;3
"366";366;7
"367";367;3
"368";368;7
"369";369;3
"370";370;3
"371";371;3
"372";372;3
"373";373;7
"374";374;3
"375";375;0
"376";376;3
"377";377;3
"378";378;3
"379";379;3
"380";380;3
"381";381;3
"382";382;3
"383";383;3
"384";384;0
"385";385;4
"386";386;3
"387";387;3
"388";388;3
"389";389;7
"390";390;7
"391";391;7
"392";392;2
"393";393;7
"394";394;3
"395";395;3
"396";396;3
"397";397;3
"398";398;3
"399";399;3
"400";400;3
"401";401;3
"402";402;3
"403";403;3
"404";404;3
"405";405;3
"406";406;3
"407";407;3
"408";408;3
"409";409;3
"410";410;3
"411";411;0
"412";412;3
"413";413;3
"414";414;7
"415";415;3
"416";416;7
"417";417;3
"418";418;3
"419";419;3
"420";420;7
"421";421;3
"422";422;7
"423";423;7
"424";424;4
"425";425;3
"426";426;7
"427";427;3
"428";428;3
"429";429;7
"430";430;7
"431";431;0
"432";432;0
"433";433;3
"434";434;3
"435";435;3
"436";436;3
"437";437;3
"438";438;0
"439";439;3
"440";440;3
"441";441;3
"442";442;3
"443";443;3
"444";444;3
"445";445;3
"446";446;3
"447";447;3
"448";448;7
"449";449;3
"450";450;3
"451";451;3
"452";452;3
"453";453;3
"454";454;3
"455";455;7
"456";456;3
"457";457;3
"458";458;3
"459";459;3
"460";460;4
"461";461;7
"462";462;3
"463";463;3
"464";464;3
"465";465;3
"466";466;3
"467";467;3
"468";468;3
"469";469;3
"470";470;3
"471";471;3
"472";472;3
"473";473;3
"474";474;3
"475";475;3
"476";476;3
"477";477;7
"478";478;3
"479";479;3
"480";480;7
"481";481;3
"482";482;4
"483";483;3
"484";484;3
"485";485;7
"486";486;7
"487";487;3
"488";488;3
"489";489;4
"490";490;3
